7.1.0	This NASA image is a composite of several satellite-based views of Earth.
7.6.124	Recall that according to the second law of thermodynamics, all energy transfers involve the loss of some amount of energy in an unusable form such as heat, resulting in entropy.
7.6.125	Gibbs free energy specifically refers to the energy associated with a chemical reaction that is available after entropy is accounted for.
7.6.126	In other words, Gibbs free energy is usable energy, or energy that is available to do work.
7.6.127	Every chemical reaction involves a change in free energy, called delta G (ΔG).
7.6.128	The change in free energy can be calculated for any system that undergoes such a change, such as a chemical reaction.
7.6.129	To calculate ΔG, subtract the amount of energy lost to entropy (denoted as ΔS) from the total energy change of the system.
7.6.130	This total energy change in the system is called enthalpy and is denoted as ΔH .
7.6.131	The formula for calculating ΔG is as follows, where the symbol T refers to absolute temperature in Kelvin (degrees Celsius + 273): ΔG = ΔH − TΔS
7.6.132	The standard free energy change of a chemical reaction is expressed as an amount of energy per mole of the reaction product (either in kilojoules or kilocalories, kJ/mol or kcal/mol; 1 kJ = 0.239 kcal) under standard pH, temperature, and pressure conditions.
7.6.133	Standard pH, temperature, and pressure conditions are generally calculated at pH 7.0 in biological systems, 25 degrees Celsius, and 100 kilopascals (1 atm pressure), respectively.
7.6.134	It is important to note that cellular conditions vary considerably from these standard conditions, and so standard calculated ΔG values for biological reactions will be different inside the cell.
7.6.135	Endergonic Reactions and Exergonic Reactions
7.6.136	If energy is released during a chemical reaction, then the resulting value from the above equation will be a negative number.
7.6.137	In other words, reactions that release energy have a ΔG < 0.
7.6.138	A negative ΔG also means that the products of the reaction have less free energy than the reactants, because they gave off some free energy during the reaction.
7.6.139	Reactions that have a negative ΔG and consequently release free energy are called exergonic reactions.
7.6.140	Think: exergonic means energy is exiting the system.
7.6.141	These reactions are also referred to as spontaneous reactions, because they can occur without the addition of energy into the system.
7.6.142	Understanding which chemical reactions are spontaneous and release free energy is extremely useful for biologists, because these reactions can be harnessed to perform work inside the cell.
7.6.143	An important distinction must be drawn between the term spontaneous and the idea of a chemical reaction that occurs immediately.
7.6.144	Contrary to the everyday use of the term, a spontaneous reaction is not one that suddenly or quickly occurs.
7.6.145	The rusting of iron is an example of a spontaneous reaction that occurs slowly, little by little, over time.
7.6.146	If a chemical reaction requires an input of energy rather than releasing energy, then the ΔG for that reaction will be a positive value.
7.6.147	In this case, the products have more free energy than the reactants.
7.6.148	Thus, the products of these reactions can be thought of as energy-storing molecules.
7.6.149	These chemical reactions are called endergonic reactions, and they are nonspontaneous.
7.6.150	An endergonic reaction will not take place on its own without the addition of free energy.
7.6.151	Let’s revisit the example of the synthesis and breakdown of the food molecule, glucose.
7.6.152	Remember that the building of complex molecules, such as sugars, from simpler ones is an anabolic process and requires energy.
7.6.153	Therefore, the chemical reactions involved in anabolic processes are endergonic reactions.
7.6.154	On the other hand, the catabolic process of breaking sugar down into simpler molecules releases energy in a series of exergonic reactions.
7.6.155	Like the example of rust above, the breakdown of sugar involves spontaneous reactions, but these reactions don’t occur instantaneously.
7.6.156	Figure 6.8 shows some other examples of endergonic and exergonic reactions.
7.6.157	Later sections will provide more information about what else is required to make even spontaneous reactions happen more efficiently.
7.6.158	An important concept in the study of metabolism and energy is that of chemical equilibrium.
7.6.159	Most chemical reactions are reversible.
7.6.160	They can proceed in both directions, releasing energy into their environment in one direction, and absorbing it from the environment in the other direction (Figure 6.9).
7.6.161	The same is true for the chemical reactions involved in cell metabolism, such as the breaking down and building up of proteins into and from individual amino acids, respectively.
7.6.162	Reactants within a closed system will undergo chemical reactions in both directions until a state of equilibrium is reached.
7.6.163	This state of equilibrium is one of the lowest possible free energy and a state of maximal entropy.
7.6.164	Energy must be put into the system to push the reactants and products away from a state of equilibrium.
7.6.165	Either reactants or products must be added, removed, or changed.
7.6.166	If a cell were a closed system, its chemical reactions would reach equilibrium, and it would die because there would be insufficient free energy left to perform the work needed to maintain life.
7.6.167	In a living cell, chemical reactions are constantly moving towards equilibrium, but never reach it.
7.6.168	This is because a living cell is an open system.
7.6.169	Materials pass in and out, the cell recycles the products of certain chemical reactions into other reactions, and chemical equilibrium is never reached.
7.6.170	In this way, living organisms are in a constant energy-requiring, uphill battle against equilibrium and entropy.
7.6.171	This constant supply of energy ultimately comes from sunlight, which is used to produce nutrients in the process of photosynthesis.
7.6.172	Exergonic and endergonic reactions result in changes in Gibbs free energy.
7.6.173	Exergonic reactions release energy; endergonic reactions require energy to proceed.
7.6.174	Activation Energy There is another important concept that must be considered regarding endergonic and exergonic reactions.
7.6.175	Even exergonic reactions require a small amount of energy input to get going before they can proceed with their energy-releasing steps.
7.6.176	These reactions have a net release of energy, but still require some energy in the beginning.
7.6.177	This small amount of energy input necessary for all chemical reactions to occur is called the activation energy (or free energy of activation) and is abbreviated EA (Figure 6.10).
7.6.178	Why would an energy-releasing, negative ΔG reaction actually require some energy to proceed?
7.6.179	The reason lies in the steps that take place during a chemical reaction.
7.6.180	During chemical reactions, certain chemical bonds are broken and new ones are formed.
7.6.181	For example, when a glucose molecule is broken down, bonds between the carbon atoms of the molecule are broken.
7.6.182	Since these are energy-storing bonds, they release energy when broken.
7.6.183	However, to get them into a state that allows the bonds to break, the molecule must be somewhat contorted.
7.6.184	A small energy input is required to achieve this contorted state.
7.6.185	This contorted state is called the transition state, and it is a high-energy, unstable state.
7.6.186	For this reason, reactant molecules don’t last long in their transition state, but very quickly proceed to the next steps of the chemical reaction.
7.6.187	Free energy diagrams illustrate the energy profiles for a given reaction.
7.6.188	Whether the reaction is exergonic or endergonic determines whether the products in the diagram will exist at a lower or higher energy state than both the reactants and the products.
7.6.189	However, regardless of this measure, the transition state of the reaction exists at a higher energy state than the reactants, and thus, EA is always positive.
7.6.190	Where does the activation energy required by chemical reactants come from?
7.6.191	The source of the activation energy needed to push reactions forward is typically heat energy from the surroundings.
7.6.192	Heat energy (the total bond energy of reactants or products in a chemical reaction) speeds up the motion of molecules, increasing the frequency and force with which they collide; it also moves atoms and bonds within the molecule slightly, helping them reach their transition state.
7.6.193	For this reason, heating up a system will cause chemical reactants within that system to react more frequently.
7.6.194	Increasing the pressure on a system has the same effect.
7.6.195	Once reactants have absorbed enough heat energy from their surroundings to reach the transition state, the reaction will proceed.
7.6.196	The activation energy of a particular reaction determines the rate at which it will proceed.
7.6.197	The higher the activation energy, the slower the chemical reaction will be.
7.6.198	The example of iron rusting illustrates an inherently slow reaction.
7.6.199	This reaction occurs slowly over time because of its high EA.
7.6.200	Additionally, the burning of many fuels, which is strongly exergonic, will take place at a negligible rate unless their activation energy is overcome by sufficient heat from a spark.
7.6.201	Once they begin to burn, however, the chemical reactions release enough heat to continue the burning process, supplying the activation energy for surrounding fuel molecules.
7.6.202	Like these reactions outside of cells, the activation energy for most cellular reactions is too high for heat energy to overcome at efficient rates.
7.6.203	In other words, in order for important cellular reactions to occur at appreciable rates (number of reactions per unit time), their activation energies must be lowered (Figure 6.10); this is referred to as catalysis.
7.6.204	This is a very good thing as far as living cells are concerned.
7.6.205	Important macromolecules, such as proteins, DNA, and RNA, store considerable energy, and their breakdown is exergonic.
7.6.206	If cellular temperatures alone provided enough heat energy for these exergonic reactions to overcome their activation barriers, the essential components of a cell would disintegrate.
7.6.207	Thermodynamics refers to the study of energy and energy transfer involving physical matter.
7.6.208	The matter and its environment relevant to a particular case of energy transfer are classified as a system, and everything outside of that system is called the surroundings.
7.6.209	For instance, when heating a pot of water on the stove, the system includes the stove, the pot, and the water.
7.6.210	Energy is transferred within the system (between the stove, pot, and water).
7.6.211	There are two types of systems: open and closed.
7.6.212	An open system is one in which energy can be transferred between the system and its surroundings.
7.6.213	The stovetop system is open because heat can be lost into the air.
7.6.214	A closed system is one that cannot transfer energy to its surroundings.
7.6.215	Biological organisms are open systems.
7.6.216	Energy is exchanged between them and their surroundings, as they consume energystoring molecules and release energy to the environment by doing work.
7.6.217	Like all things in the physical world, energy is subject to the laws of physics.
7.6.218	The laws of thermodynamics govern the transfer of energy in and among all systems in the universe.
7.6.219	The First Law of Thermodynamics
7.6.220	The first law of thermodynamics deals with the total amount of energy in the universe.
7.6.221	It states that this total amount of energy is constant.
7.6.222	In other words, there has always been, and always will be, exactly the same amount of energy in the universe.
7.6.223	Energy exists in many different forms.
7.6.224	According to the first law of thermodynamics, energy may be transferred from place to place or transformed into different forms, but it cannot be created or destroyed.
7.6.225	The transfers and transformations of energy take place around us all the time.
7.6.226	Light bulbs transform electrical energy into light energy.
7.6.227	Gas stoves transform chemical energy from natural gas into heat energy.
7.6.228	Plants perform one of the most biologically useful energy transformations on earth: that of converting the energy of sunlight into the chemical energy stored within organic molecules (Figure 6.2).
7.6.229	Some examples of energy transformations are shown in Figure 6.11.
7.6.230	The challenge for all living organisms is to obtain energy from their surroundings in forms that they can transfer or transform into usable energy to do work.
7.6.231	Living cells have evolved to meet this challenge very well.
7.6.232	Chemical energy stored within organic molecules such as sugars and fats is transformed through a series of cellular chemical reactions into energy within molecules of ATP.
7.6.233	Energy in ATP molecules is easily accessible to do work.
7.6.234	Examples of the types of work that cells need to do include building complex molecules, transporting materials, powering the beating motion of cilia or flagella, contracting muscle fibers to create movement, and reproduction.
7.6.235	Shown are two examples of energy being transferred from one system to another and transformed from one form to another.
7.6.236	Humans can convert the chemical energy in food, like this ice cream cone, into kinetic energy (the energy of movement to ride a bicycle).
7.6.237	Plants can convert electromagnetic radiation (light energy) from the sun into chemical energy.
7.6.238	The Second Law of Thermodynamics A living cell’s primary tasks of obtaining, transforming, and using energy to do work may seem simple.
7.6.239	However, the second law of thermodynamics explains why these tasks are harder than they appear.
7.6.240	None of the energy transfers we’ve discussed, along with all energy transfers and transformations in the universe, is completely efficient.
7.6.241	In every energy transfer, some amount of energy is lost in a form that is unusable.
7.6.242	In most cases, this form is heat energy.
7.6.243	Thermodynamically, heat energy is defined as the energy transferred from one system to another that is not doing work.
7.6.244	For example, when an airplane flies through the air, some of the energy of the flying plane is lost as heat energy due to friction with the surrounding air.
7.6.245	This friction actually heats the air by temporarily increasing the speed of air molecules.
7.6.246	Likewise, some energy is lost as heat energy during cellular metabolic reactions.
7.6.247	This is good for warm-blooded creatures like us, because heat energy helps to maintain our body temperature.
7.6.248	Strictly speaking, no energy transfer is completely efficient, because some energy is lost in an unusable form.
7.6.249	An important concept in physical systems is that of order and disorder (also known as randomness).
7.6.250	The more energy that is lost by a system to its surroundings, the less ordered and more random the system is.
7.6.251	Scientists refer to the measure of randomness or disorder within a system as entropy.
7.6.252	High entropy means high disorder and low energy (Figure 6.12).
7.6.253	To better understand entropy, think of a student’s bedroom.
7.6.254	If no energy or work were put into it, the room would quickly become messy.
7.6.255	It would exist in a very disordered state, one of high entropy.
7.6.256	Energy must be put into the system, in the form of the student doing work and putting everything away, in order to bring the room back to a state of cleanliness and order.
7.6.257	This state is one of low entropy.
7.6.258	Similarly, a car or house must be constantly maintained with work in order to keep it in an ordered state.
7.6.259	Left alone, the entropy of the house or car gradually increases through rust and degradation.
7.6.260	Molecules and chemical reactions have varying amounts of entropy as well.
7.6.261	For example, as chemical reactions reach a state of equilibrium, entropy increases, and as molecules at a high concentration in one place diffuse and spread out, entropy also increases.
7.6.262	All physical systems can be thought of in this way: Living things are highly ordered, requiring constant energy input to be maintained in a state of low entropy.
7.6.263	As living systems take in energy-storing molecules and transform them through chemical reactions, they lose some amount of usable energy in the process, because no reaction is completely efficient.
7.6.264	They also produce waste and by-products that aren’t useful energy sources.
7.6.265	This process increases the entropy of the system’s surroundings.
7.6.266	Since all energy transfers result in the loss of some usable energy, the second law of thermodynamics states that every energy transfer or transformation increases the entropy of the universe.
7.6.267	Even though living things are highly ordered and maintain a state of low entropy, the entropy of the universe in total is constantly increasing due to the loss of usable energy with each energy transfer that occurs.
7.6.268	Essentially, living things are in a continuous uphill battle against this constant increase in universal entropy.
7.6.269	Entropy is a measure of randomness or disorder in a system.
7.6.270	Gases have higher entropy than liquids, and liquids have higher entropy than solids.
7.6.271	Even exergonic, energy-releasing reactions require a small amount of activation energy in order to proceed.
7.6.272	However, consider endergonic reactions, which require much more energy input, because their products have more free energy than their reactants.
7.6.273	Within the cell, where does energy to power such reactions come from?
7.6.274	The answer lies with an energysupplying molecule called adenosine triphosphate, or ATP.
7.6.275	ATP is a small, relatively simple molecule (Figure 6.13), but within some of its bonds, it contains the potential for a quick burst of energy that can be harnessed to perform cellular work.
7.6.276	This molecule can be thought of as the primary energy currency of cells in much the same way that money is the currency that people exchange for things they need.
7.6.277	ATP is used to power the majority of energy-requiring cellular reactions.
7.6.278	ATP is the primary energy currency of the cell.
7.6.279	It has an adenosine backbone with three phosphate groups attached.
7.6.280	As its name suggests, adenosine triphosphate is comprised of adenosine bound to three phosphate groups (Figure 6.13).
7.6.281	Adenosine is a nucleoside consisting of the nitrogenous base adenine and a five-carbon sugar, ribose.
7.6.282	The three phosphate groups, in order of closest to furthest from the ribose sugar, are labeled alpha, beta, and gamma.
7.6.283	Together, these chemical groups constitute an energy powerhouse.
7.6.284	However, not all bonds within this molecule exist in a particularly high-energy state.
7.6.285	Both bonds that link the phosphates are equally high-energy bonds ( phosphoanhydride bonds) that, when broken, release sufficient energy to power a variety of cellular reactions and processes.
7.6.286	These high-energy bonds are the bonds between the second and third (or beta and gamma) phosphate groups and between the first and second phosphate groups.
7.6.287	The reason that these bonds are considered “high-energy” is because the products of such bond breaking—adenosine diphosphate (ADP) and one inorganic phosphate group (Pi)—have considerably lower free energy than the reactants:
7.6.288	ATP and a water molecule.
7.6.289	Because this reaction takes place with the use of a water molecule, it is considered a hydrolysis reaction.
7.6.290	In other words, ATP is hydrolyzed into ADP in the following reaction: ATP + H2O
7.6.291	→ ADP +
7.6.292	Pi + free energy Like most chemical reactions, the hydrolysis of ATP to ADP is reversible.
7.6.293	The reverse reaction regenerates ATP from ADP + Pi.
7.6.294	Indeed, cells rely on the regeneration of ATP just as people rely on the regeneration of spent money through some sort of income.
7.6.295	Since ATP hydrolysis releases energy, ATP regeneration must require an input of free energy.
7.6.296	The formation of ATP is expressed in this equation: ADP + Pi + free energy
7.6.297	→ ATP + H2O
7.6.298	Two prominent questions remain with regard to the use of ATP as an energy source.
7.6.299	Exactly how much free energy is released with the hydrolysis of ATP, and how is that free energy used to do cellular work?
7.6.300	The calculated ΔG for the hydrolysis of one mole of ATP into ADP and Pi is −7.3 kcal/mole (−30.5 kJ/mol).
7.6.301	Since this calculation is true under standard conditions, it would be expected that a different value exists under cellular conditions.
7.6.302	In fact, the ΔG for the hydrolysis of one mole of ATP in a living cell is almost double the value at standard conditions: 14 kcal/mol (−57 kJ/mol).
7.6.303	ATP is a highly unstable molecule.
7.6.304	Unless quickly used to perform work, ATP spontaneously dissociates into ADP + Pi, and the free energy released during this process is lost as heat.
7.6.305	The second question posed above, that is, how the energy released by ATP hydrolysis is used to perform work inside the cell, depends on a strategy called energy coupling.
7.6.306	Cells couple the exergonic reaction of ATP hydrolysis with endergonic reactions, allowing them to proceed.
7.6.307	One example of energy coupling using ATP involves a transmembrane ion pump that is extremely important for cellular function.
7.6.308	This sodium-potassium pump (Na+/K+ pump) drives sodium out of the cell and potassium into the cell (Figure 6.14).
7.6.309	A large percentage of a cell’s ATP is spent powering this pump, because cellular processes bring a great deal of sodium into the cell and potassium out of the cell.
7.6.310	The pump works constantly to stabilize cellular concentrations of sodium and potassium.
7.6.311	In order for the pump to turn one cycle (exporting three Na+ ions and importing two K+ ions), one molecule of ATP must be hydrolyzed.
7.6.312	When ATP is hydrolyzed, its gamma phosphate doesn’t simply float away, but is actually transferred onto the pump protein.
7.6.313	This process of a phosphate group binding to a molecule is called phosphorylation.
7.6.314	As with most cases of ATP hydrolysis, a phosphate from ATP is transferred onto another molecule.
7.6.315	In a phosphorylated state, the Na+/K+ pump has more free energy and is triggered to undergo a conformational change.
7.6.316	This change allows it to release Na+ to the outside of the cell.
7.6.317	It then binds extracellular K+, which, through another conformational change, causes the phosphate to detach from the pump.
7.6.318	This release of phosphate triggers the K+ to be released to the inside of the cell.
7.6.319	Essentially, the energy released from the hydrolysis of ATP is coupled with the energy required to power the pump and transport Na+ and K+ ions.
7.6.320	ATP performs cellular work using this basic form of energy coupling through phosphorylation.
7.6.321	Often during cellular metabolic reactions, such as the synthesis and breakdown of nutrients, certain molecules must be altered slightly in their conformation to become substrates for the next step in the reaction series.
7.6.322	One example is during the very first steps of cellular respiration, when a molecule of the sugar glucose is broken down in the process of glycolysis.
7.6.323	In the first step of this process, ATP is required for the phosphorylation of glucose, creating a high-energy but unstable intermediate.
7.6.324	This phosphorylation reaction powers a conformational change that allows the phosphorylated glucose molecule to be converted to the phosphorylated sugar fructose.
7.6.325	Fructose is a necessary intermediate for glycolysis to move forward.
7.6.326	Here, the exergonic reaction of ATP hydrolysis is coupled with the endergonic reaction of converting glucose into a phosphorylated intermediate in the pathway.
7.6.327	Once again, the energy released by breaking a phosphate bond within ATP was used for the phosphorylation of another molecule, creating an unstable intermediate and powering an important conformational change.
7.6.328	A substance that helps a chemical reaction to occur is a catalyst, and the special molecules that catalyze biochemical reactions are called enzymes.
7.6.329	Almost all enzymes are proteins, made up of chains of amino acids, and they perform the critical task of lowering the activation energies of chemical reactions inside the cell.
7.6.330	Enzymes do this by binding to the reactant molecules, and holding them in such a way as to make the chemical bond-breaking and bond-forming processes take place more readily.
7.6.331	It is important to remember that enzymes don’t change the ΔG of a reaction.
7.6.332	In other words, they don’t change whether a reaction is exergonic (spontaneous) or endergonic.
7.6.333	This is because they don’t change the free energy of the reactants or products.
7.6.334	They only reduce the activation energy required to reach the transition state.
7.6.335	Enzyme Active Site and Substrate Specificity
7.6.336	The chemical reactants to which an enzyme binds are the enzyme’s substrates.
7.6.337	There may be one or more substrates, depending on the particular chemical reaction.
7.6.338	In some reactions, a single-reactant substrate is broken down into multiple products.
7.6.339	In others, two substrates may come together to create one larger molecule.
7.6.340	Two reactants might also enter a reaction, both become modified, and leave the reaction as two products.
7.6.341	The location within the enzyme where the substrate binds is called the enzyme’s active site.
7.6.342	The active site is where the “action” happens, so to speak.
7.6.343	Since enzymes are proteins, there is a unique combination of amino acid residues (also called side chains, or R groups) within the active site.
7.6.344	Each residue is characterized by different properties.
7.6.345	Residues can be large or small, weakly acidic or basic, hydrophilic or hydrophobic, positively or negatively charged, or neutral.
7.6.346	The unique combination of amino acid residues, their positions, sequences, structures, and properties, creates a very specific chemical environment within the active site.
7.6.347	This specific environment is suited to bind, albeit briefly, to a specific chemical substrate (or substrates).
7.6.348	Due to this jigsaw puzzle-like match between an enzyme and its substrates (which adapts to find the best fit between the transition state and the active site), enzymes are known for their specificity.
7.6.349	The “best fit” results from the shape and the amino acid functional group’s attraction to the substrate.
7.6.350	There is a specifically matched enzyme for each substrate and, thus, for each chemical reaction; however, there is flexibility as well.
7.6.351	The fact that active sites are so perfectly suited to provide specific environmental conditions also means that they are subject to influences by the local environment.
7.6.352	It is true that increasing the environmental temperature generally increases reaction rates, enzyme-catalyzed or otherwise.
7.6.353	However, increasing or decreasing the temperature outside of an optimal range can affect chemical bonds within the active site in such a way that they are less well suited to bind substrates.
7.6.354	High temperatures will eventually cause enzymes, like other biological molecules, to denature, a process that changes the natural properties of a substance.
7.6.355	Likewise, the pH of the local environment can also affect enzyme function.
7.6.356	Active site amino acid residues have their own acidic or basic properties that are optimal for catalysis.
7.6.357	These residues are sensitive to changes in pH that can impair the way substrate molecules bind.
7.6.358	Enzymes are suited to function best within a certain pH range, and, as with temperature, extreme pH values (acidic or basic) of the environment can cause enzymes to denature.
7.6.359	Induced Fit and Enzyme Function
7.6.360	For many years, scientists thought that enzyme-substrate binding took place in a simple “lock-and-key” fashion.
7.6.361	This model asserted that the enzyme and substrate fit together perfectly in one instantaneous step.
7.6.362	However, current research supports a more refined view called induced fit (Figure 6.16).
7.6.363	The induced-fit model expands upon the lock-and-key model by describing a more dynamic interaction between enzyme and substrate.
7.6.364	As the enzyme and substrate come together, their interaction causes a mild shift in the enzyme’s structure that confirms an ideal binding arrangement between the enzyme and the transition state of the substrate.
7.6.365	This ideal binding maximizes the enzyme’s ability to catalyze its reaction.
7.6.366	When an enzyme binds its substrate, an enzyme-substrate complex is formed.
7.6.367	This complex lowers the activation energy of the reaction and promotes its rapid progression in one of many ways.
7.6.368	On a basic level, enzymes promote chemical reactions that involve more than one substrate by bringing the substrates together in an optimal orientation.
7.6.369	The appropriate region (atoms and bonds) of one molecule is juxtaposed to the appropriate region of the other molecule with which it must react.
7.6.370	Another way in which enzymes promote the reaction of their substrates is by creating an optimal environment within the active site for the reaction to occur.
7.6.371	Certain chemical reactions might proceed best in a slightly acidic or non-polar environment.
7.6.372	The chemical properties that emerge from the particular arrangement of amino acid residues within an active site create the perfect environment for an enzyme’s specific substrates to react.
7.6.373	You’ve learned that the activation energy required for many reactions includes the energy involved in manipulating or slightly contorting chemical bonds so that they can easily break and allow others to reform.
7.6.374	Enzymatic action can aid this process.
7.6.375	The enzyme-substrate complex can lower the activation energy by contorting substrate molecules in such a way as to facilitate bond-breaking, helping to reach the transition state.
7.6.376	Finally, enzymes can also lower activation energies by taking part in the chemical reaction itself.
7.6.377	The amino acid residues can provide certain ions or chemical groups that actually form covalent bonds with substrate molecules as a necessary step of the reaction process.
7.6.378	In these cases, it is important to remember that the enzyme will always return to its original state at the completion of the reaction.
7.6.379	One of the hallmark properties of enzymes is that they remain ultimately unchanged by the reactions they catalyze.
7.6.380	After an enzyme is done catalyzing a reaction, it releases its product(s).
7.6.381	According to the induced-fit model, both enzyme and substrate undergo dynamic conformational changes upon binding.
7.6.382	The enzyme contorts the substrate into its transition state, thereby increasing the rate of the reaction.
7.6.383	Control of Metabolism
7.6.384	Through Enzyme Regulation
7.6.385	It would seem ideal to have a scenario in which all of the enzymes encoded in an organism’s genome existed in abundant supply and functioned optimally under all cellular conditions, in all cells, at all times.
7.6.386	In reality, this is far from the case.
7.6.387	A variety of mechanisms ensure that this does not happen.
7.6.388	Cellular needs and conditions vary from cell to cell, and change within individual cells over time.
7.6.389	The required enzymes and energetic demands of stomach cells are different from those of fat storage cells, skin cells, blood cells, and nerve cells.
7.6.390	Furthermore, a digestive cell works much harder to process and break down nutrients during the time that closely follows a meal compared with many hours after a meal.
7.6.391	As these cellular demands and conditions vary, so do the amounts and functionality of different enzymes.
7.6.392	Since the rates of biochemical reactions are controlled by activation energy, and enzymes lower and determine activation energies for chemical reactions, the relative amounts and functioning of the variety of enzymes within a cell ultimately determine which reactions will proceed and at which rates.
7.6.393	This determination is tightly controlled.
7.6.394	In certain cellular environments, enzyme activity is partly controlled by environmental factors, like pH and temperature.
7.6.395	There are other mechanisms through which cells control the activity of enzymes and determine the rates at which various biochemical reactions will occur.
7.6.396	Regulation of Enzymes by Molecules Enzymes can be regulated in ways that either promote or reduce their activity.
7.6.397	There are many different kinds of molecules that inhibit or promote enzyme function, and various mechanisms exist for doing so.
7.6.398	In some cases of enzyme inhibition, for example, an inhibitor molecule is similar enough to a substrate that it can bind to the active site and simply block the substrate from binding.
7.6.399	When this happens, the enzyme is inhibited through competitive inhibition, because an inhibitor molecule competes with the substrate for active site binding (Figure 6.17).
7.6.400	On the other hand, in noncompetitive inhibition, an inhibitor molecule binds to the enzyme in a location other than an allosteric site and still manages to block substrate binding to the active site.
7.6.401	Competitive and noncompetitive inhibition affect the rate of reaction differently.
7.6.402	Competitive inhibitors affect the initial rate but do not affect the maximal rate, whereas noncompetitive inhibitors affect the maximal rate.
7.6.403	Some inhibitor molecules bind to enzymes in a location where their binding induces a conformational change that reduces the affinity of the enzyme for its substrate.
7.6.404	This type of inhibition is called allosteric inhibition (Figure 6.18).
7.6.405	Most allosterically regulated enzymes are made up of more than one polypeptide, meaning that they have more than one protein subunit.
7.6.406	When an allosteric inhibitor binds to an enzyme, all active sites on the protein subunits are changed slightly such that they bind their substrates with less efficiency.
7.6.407	There are allosteric activators as well as inhibitors.
7.6.408	Allosteric activators bind to locations on an enzyme away from the active site, inducing a conformational change that increases the affinity of the enzyme’s active site(s) for its substrate(s).
7.6.409	Allosteric inhibitors modify the active site of the enzyme so that substrate binding is reduced or prevented.
7.6.410	In contrast, allosteric activators modify the active site of the enzyme so that the affinity for the substrate increases.
7.6.411	Many enzymes don’t work optimally, or even at all, unless bound to other specific non-protein helper molecules, either temporarily through ionic or hydrogen bonds or permanently through stronger covalent bonds.
7.6.412	Two types of helper molecules are cofactors and coenzymes.
7.6.413	Binding to these molecules promotes optimal conformation and function for their respective enzymes.
7.6.414	Cofactors are inorganic ions such as iron (Fe++) and magnesium (Mg++).
7.6.415	One example of an enzyme that requires a metal ion as a cofactor is the enzyme that builds DNA molecules, DNA polymerase, which requires bound zinc ion (Zn++) to function.
7.6.416	Coenzymes are organic helper molecules, with a basic atomic structure made up of carbon and hydrogen, which are required for enzyme action.
7.6.417	The most common sources of coenzymes are dietary vitamins (Figure 6.20).
7.6.418	Some vitamins are precursors to coenzymes and others act directly as coenzymes.
7.6.419	Vitamin C is a coenzyme for multiple enzymes that take part in building the important connective tissue component, collagen.
7.6.420	An important step in the breakdown of glucose to yield energy is catalysis by a multi-enzyme complex called pyruvate dehydrogenase.
7.6.421	Pyruvate dehydrogenase is a complex of several enzymes that actually requires one cofactor (a magnesium ion) and five different organic coenzymes to catalyze its specific chemical reaction.
7.6.422	Therefore, enzyme function is, in part, regulated by an abundance of various cofactors and coenzymes, which are supplied primarily by the diets of most organisms.
7.6.423	Vitamins are important coenzymes or precursors of coenzymes, and are required for enzymes to function properly.
7.6.424	Multivitamin capsules usually contain mixtures of all the vitamins at different percentages.
7.6.425	Enzyme Compartmentalization
7.6.426	In eukaryotic cells, molecules such as enzymes are usually compartmentalized into different organelles.
7.6.427	This allows for yet another level of regulation of enzyme activity.
7.6.428	Enzymes required only for certain cellular processes can be housed separately along with their substrates, allowing for more efficient chemical reactions.
7.6.429	Examples of this sort of enzyme regulation based on location and proximity include the enzymes involved in the latter stages of cellular respiration, which take place exclusively in the mitochondria, and the enzymes involved in the digestion of cellular debris and foreign materials, located within lysosomes.
7.6.430	Feedback Inhibition in Metabolic Pathways Molecules can regulate enzyme function in many ways.
7.6.431	A major question remains, however: What are these molecules and where do they come from?
7.6.432	Some are cofactors and coenzymes, ions, and organic molecules, as you’ve learned.
7.6.433	What other molecules in the cell provide enzymatic regulation, such as allosteric modulation, and competitive and noncompetitive inhibition?
7.6.434	The answer is that a wide variety of molecules can perform these roles.
7.6.435	Some of these molecules include pharmaceutical and non-pharmaceutical drugs, toxins, and poisons from the environment.
7.6.436	Perhaps the most relevant sources of enzyme regulatory molecules, with respect to cellular metabolism, are the products of the cellular metabolic reactions themselves.
7.6.437	In a most efficient and elegant way, cells have evolved to use the products of their own reactions for feedback inhibition of enzyme activity.
7.6.438	Feedback inhibition involves the use of a reaction product to regulate its own further production (Figure 6.21).
7.6.439	The cell responds to the abundance of specific products by slowing down production during anabolic or catabolic reactions.
7.6.440	Such reaction products may inhibit the enzymes that catalyzed their production through the mechanisms described above.
7.6.441	Metabolic pathways are a series of reactions catalyzed by multiple enzymes.
7.6.442	Feedback inhibition, where the end product of the pathway inhibits an upstream step, is an important regulatory mechanism in cells.
7.6.443	The production of both amino acids and nucleotides is controlled through feedback inhibition.
7.6.444	Additionally, ATP is an allosteric regulator of some of the enzymes involved in the catabolic breakdown of sugar, the process that produces ATP.
7.6.445	In this way, when ATP is abundant, the cell can prevent its further production.
7.6.446	Remember that ATP is an unstable molecule that can spontaneously dissociate into ADP.
7.6.447	If too much ATP were present in a cell, much of it would go to waste.
7.6.448	On the other hand, ADP serves as a positive allosteric regulator (an allosteric activator) for some of the same enzymes that are inhibited by ATP.
7.6.449	Thus, when relative levels of ADP are high compared to ATP, the cell is triggered to produce more ATP through the catabolism of sugar.
7.7.0	The electrical energy plant in Figure 7.1 converts energy from one form to another form that can be more easily used.
