7.1.1.1	Chapter 1: Studying Life
7.1.0.0.7.3	They predicted that the cool-pool corals would bleach at higher rates under the experimental conditions than the warm-pool corals would.
7.1.0.0.7.4	That experiment revealed differences between the two populations, but did not reveal whether the differences were a result of long-term evolutionary changes in the populations (adaptations) or short-term acclimation of individuals to their current environments.
7.1.0.0.7.5	The researchers therefore looked for genetic differences in the corals living in the warm and cool pools (adaptations).
7.1.0.0.7.6	They also looked for differences in gene expression patterns when the corals were transplanted to different environments (acclimation).
7.1.0.0.7.7	Did the two populations have fundamental genetic differences, or did the environments they lived in stimulate different patterns of gene expression and therefore physiological acclimation?
7.1.0.0.1.1	Once predictions are made from a hypothesis, experiments can be designed to test those predictions.
7.1.0.0.1.2	The most informative experiments are those that have the ability to show that the prediction is wrong.
7.1.0.0.1.3	If the prediction is wrong, the hypothesis must be questioned, modified, or rejected.
7.1.0.0.2.1	There are two general types of experiments, both of which compare data from different groups or samples:
7.1.0.0.3.1	Controlled experiments manipulate one factor of interest while holding other variables constant as a means of testing the influence of the manipulated variable.
7.1.0.0.4.1	Comparative experiments compare data gathered from different populations that differ in multiple, unknown ways.
7.1.0.0.5.1	Rachael Bay and her colleagues conducted both types of experiments, to reveal genetic differences between the coral populations as well as their abilities to acclimate to different temperature environments.
7.1.0.0.6.1	In a controlled experiment, we predict on the basis of our hypothesis that some critical factor, or variable, has an effect on the phenomenon we are investigating.
7.1.0.0.6.2	We devise some method to manipulate only that variable in an    experimental  ? group and compare the resulting data with data from an unmanipulated    control  ? group.
7.1.0.0.6.3	If the predicted difference occurs, we then apply statistical tests to ascertain the probability that the manipulation caused the difference (as opposed to the difference being the result of random chance).
7.1.0.0.6.4	Investigating Life: Corals in Hot Water describes a controlled experiment examining the effect of pool of origin on the response of corals to heat stress done by Rachael Bay and other members of the Palumbi laboratory.
7.1.0.0.6.5	A good controlled experiment is not easy to design because biological variables are so interrelated that it is sometimes difficult to alter just one.
7.1.0.0.6.6	In this experiment, the controlled variable was whether the experimental corals came from the cool-pool or the warm-pool environment.
7.1.0.0.6.7	They were then subjected to the same thermal stresses and their responses measured as extent of bleaching.
7.1.0.0.6.8	The control groups were corals not exposed to the thermal stress protocol.
7.1.0.0.7.1	A comparative experiment starts with the prediction that there will be a difference between samples or groups based on the hypothesis.
7.1.0.0.7.2	Unlike in a controlled experiment, we cannot control all the variables in a comparative experiment; often we cannot even identify all the variables involved.
7.1.0.0.7.3	We are simply gathering and comparing data from different sample groups.
7.1.0.0.7.4	Rachael and her colleagues did a comparative experiment in addition to the controlled experiment shown in Investigating Life: Corals in Hot Water.
7.1.0.0.7.5	They analyzed and compared the genetic makeup of corals taken from the warm and cool pools.
7.1.0.0.1.1	Whether we do comparative or controlled experiments, we have to decide whether there is a real difference between the samples, individuals, groups, or populations in the study.
7.1.0.0.1.2	How do we decide whether a measured difference is enough to support or falsify a hypothesis?
7.1.0.0.1.3	In other words, how do we decide in an unbiased, objective way that the measured difference is significant?
7.1.0.0.2.1	Significance is measured with statistical methods.
7.1.0.0.2.2	Random variation is almost always present in any set of measurements.
7.1.0.0.2.3	Statistical tests calculate the probability that the differences observed in an experiment could be due to random variation.
7.1.0.0.2.4	The results of statistical tests are therefore probabilities.
7.1.0.0.2.5	A statistical test starts with a null hypothesis   the premise that observed differences are the result of random variation that arises from drawing two finite samples from the same population.
7.1.0.0.2.6	When quantified observations, or data, are collected, statistical methods are applied to those data to see if there is sufficient evidence to reject the null hypothesis.
7.1.0.0.3.1	investigatinglife
7.1.0.0.4.1	Corals in Hot Water
7.1.0.0.5.1	experiment
7.1.0.0.6.1	Original Paper: Palumbi, S. R., D. J. Barshis, N. Traylor-Knowles and R. A. Bay. 2014.
7.1.0.0.6.2	Mechanisms of reef coral resistance to future climate change.
7.1.0.0.6.3	Science 344: 895   898.
7.1.0.0.7.1	Rachael Bay and her colleagues did a controlled experiment by bringing corals from the warm and the cool tidal pools into the laboratory and then subjecting them to cycles of heat stress that simulated the conditions that sometimes occurred in the warm tidal pools.
7.1.0.0.7.2	The outcome measure was bleaching   the loss of photosynthetic symbionts (dinoflagellates) from the coral bodies.
7.1.0.0.8.1	HYPOTHESIS  Heat stress results in coral bleaching, but corals from warm pools are less subject to bleaching under heat stress than are corals from cool pools.
7.1.0.0.9.1	METHOD
7.1.0.0.10.1	Transplant corals from warm and cool pools into laboratory aquaria maintained at a safe temperature.
7.1.0.0.11.1	Subject experimental corals to heat stress (the experimental condition) by simulating the daily temperature cycle in the warm pools.
7.1.0.0.12.1	Measure coral bleaching (the dependent variable) as the ratio of chlorophyll (the photosynthetic pigment of the symbionts) in the corals exposed to heat stress versus in the controls in non-stressed conditions.
7.1.0.0.12.2	A ratio of less than 1.0 indicates higher bleaching in the heat-stressed corals than in the controls.
7.1.0.0.13.1	RESULTS Corals from both cool pools and warm pools exhibited higher bleaching under heat stress than controls did, but the cool-pool corals showed higher average levels of bleaching than the warm-pool corals did.
7.1.0.0.13.2	(You will calculate the statistical significance of this difference in the following work with the data exercise. )
7.1.0.0.14.1	CONCLUSION  The warm-pool corals showed lower effects of heat stress than the cool-pool corals did, although both populations showed increased bleaching under heat stress.
7.1.0.0.14.2	The difference in the populations could be explained either by genetic adaptation to heat stress in the populations of warm-pool corals or by physiological acclimatization of individuals exposed to warm-pool conditions, or by some combination of the two.
7.1.0.0.15.1	work with the data
7.1.0.0.16.1	The bar graph in the Results section of the experiment shows that both cool-pool corals and warm-pool corals showed increased levels of bleaching under heat stress, relative to controls.
7.1.0.0.16.2	It also shows that the cool-pool corals showed greater relative bleaching under heat stress than did the warm-pool corals.
7.1.0.0.16.3	But how do we know that these differences are greater than would be expected if the variation within and between samples represents nothing more than random variation?
7.1.0.0.16.4	Here we will use some simple tests to see if the differences measured are significant (unlikely due to random variation).
7.1.0.0.16.5	Average chlorophyll ratio Cool-pool corals Warm-pool corals 0.0 0 0 0.1 0 0 0.2 1 0 0.3 1 0 0.4 4 0 0.5 7 0 0.6 1 0 0.7 1 1 0.8 2 3 0.9 0 3 1.0 0 1
7.1.0.0.17.1	QUESTIONS
7.1.0.0.18.1	Prepare a bar graph based on these data.
7.1.0.0.18.2	Display the chlorophyll ratios on the x axis, and show the number of corals that exhibited each ratio on the y axis.
7.1.0.0.19.1	First, let   s consider if there is a significant effect of heat stress in each of the two groups.
7.1.0.0.19.2	At the outset we assume that there is no effect of heat stress in either group   this is called our null hypothesis (H0).
7.1.0.0.19.3	We use statistical tests to decide if we can reject the null hypothesis and conclude that there is an effect of heat stress.
7.1.0.0.19.4	If the null hypothesis is true, then we would expect that any differences in chlorophyll levels between control and experimental populations are due to random variation, and so we would expect the chlorophyll ratios to be greater than 1.0 as often as they are less than 1.0.
7.1.0.0.19.5	In other words, the expected distribution of values &lt; 1 and &gt; 1 is like the expected distribution of heads and tails in a coin toss.
7.1.0.0.19.6	Let   s first consider the cool-pool corals.
7.1.0.0.19.7	There are 17 samples, and all 17 had chlorophyll ratios &lt; 1.0.
7.1.0.0.19.8	The probability of this happening at random is the same as getting 17 heads in 17 flips of a fair coin (by a    fair coin  ? we mean the probability of heads in one flip = 0.5).
7.1.0.0.19.9	Using this criterion, calculate the probability of the null hypothesis (H0: no effect of heat stress on bleaching) for each of the two populations.
7.1.0.0.20.1	Now let   s consider if there is a significant difference in the level of bleaching in the cool-pool versus the warm-pool corals.
7.1.0.0.20.2	Our null hypothesis in this case is that the levels of bleaching are the same in both groups.
7.1.0.0.20.3	If the null hypothesis is true, then we would expect (on average) the same distribution of chlorophyll ratios in the samples of both groups.
7.1.0.0.20.4	From the Results section in the experiment, we see that the average chlorophyll ratio observed in the cool-pool samples is 0.5, and the average chlorophyll ratio observed in the warm-pool samples is 0.85.
7.1.0.0.20.5	Would we expect a difference this great if the distributions of the two samples were drawn from the same underlying distribution of values?
7.1.0.0.20.6	To find out, write each of the 25 observed chlorophyll ratios (from both groups) on an index card.
7.1.0.0.20.7	Thoroughly mix and shuffle the cards to randomize their order, and then deal them into two groups of the same size as the cool-pool samples (17) and warm-pool samples (8).
7.1.0.0.20.8	Calculate the average ratios in these randomized samples.
7.1.0.0.20.9	Repeat this procedure or combine the results of your randomization test with those of other students in your class.
7.1.0.0.20.10	How often do you see a difference as great as the observed difference in the two samples (0.85   0.5, or a difference of 0.35)?
7.1.0.0.21.1	What do these results suggest about the possible response of coral populations in different environments to ocean warming?
7.1.0.0.22.1	A similar work with the data exercise may be assigned in LaunchPad.
7.1.0.0.23.1	More specifically, statistical methods tell us the probability of obtaining the same results by chance even if the null hypothesis were true.
7.1.0.0.23.2	We need to eliminate, insofar as possible, the chance that any differences showing up in the data are merely the result of random variation in the samples tested.
7.1.0.0.23.3	Scientists generally conclude that the differences they measure are significant if statistical tests show that the probability of error (that is, the probability that a difference as large as the one observed could be obtained by mere chance) is 5 percent or lower.
7.1.0.0.23.4	They often use more stringent criteria for rejecting the null hypothesis, however, depending on the consequences of accepting a wrong hypothesis.
7.1.0.0.23.5	Appendix B of this book offers a short primer on statistical methods to which you can refer as you analyze data that will be presented throughout the text.
7.1.0.0.1.1	All life is related by descent from a common ancestor, shares a genetic code, and consists of similar biochemical building blocks.
7.1.0.0.1.2	Therefore knowledge gained from investigations of one type of organism can, with thought and care, be generalized to other organisms.
7.1.0.0.1.3	Biologists use model systems for research, knowing that they can extend their findings from such systems to other organisms.
7.1.0.0.1.4	For example, our basic understanding of the chemical reactions in cells came from research on bacteria but is applicable to all cells, including those of humans.
7.1.0.0.1.5	Similarly, the biochemistry of photosynthesis   the process by which all green plants use sunlight to produce biological molecules   was worked out largely from experiments on Chlorella, a unicellular green alga.
7.1.0.0.1.6	Much of what we know about the genes that control plant development is the result of work on Arabidopsis thaliana, a relative of the mustard plant.
7.1.0.0.1.7	Knowledge about how animals, including humans, develop has come from work on sea urchins, frogs, chickens, roundworms, mice, and fruit flies.
7.1.0.0.1.8	Being able to generalize from model systems is a powerful tool in biology.
7.1.0.0.1.1	Science is a unique human endeavor that has certain standards of practice.
7.1.0.0.1.2	Other areas of scholarship share with science the practice of making observations and asking questions, but scientists are distinguished by what they do with their observations, how they frame their questions, and how they determine their answers.
7.1.0.0.1.3	Quantifiable data, subjected to appropriate statistical analysis, are critical in evaluating hypotheses.
7.1.0.0.1.4	The Investigating Life boxes and the Work with the Data exercises you will find throughout this book are intended to reinforce this way of thinking.
7.1.0.0.1.5	Scientific observation, hypothesis generation, and experimental testing constitute the most powerful approach humans have devised for learning about the world and how it works.
7.1.0.0.2.1	Scientific explanations for natural processes are objective and reliable because a hypothesis must be testable and a hypothesis must have the potential of being rejected by direct observations and experiments.
7.1.0.0.2.2	Scientists must clearly describe the methods they use to test hypotheses so that other scientists can repeat their results.
7.1.0.0.2.3	Not all experiments are repeated, but surprising or controversial results are always subjected to independent verification.
7.1.0.0.2.4	Scientists worldwide share this process of testing and rejecting hypotheses, contributing to a common body of scientific knowledge.
7.1.0.0.3.1	If you understand the methods of science, you can distinguish science from non-science.
7.1.0.0.3.2	Art, music, and literature all contribute to the quality of human life, but they are not science.
7.1.0.0.3.3	They do not use scientific methods to establish what is fact.
7.1.0.0.3.4	Religion is not science, although religions have historically attempted to explain natural events ranging from unusual weather patterns to crop failures to human diseases.
7.1.0.0.3.5	Most such phenomena that at one time were mysterious can now be explained in terms of scientific principles.
7.1.0.0.3.6	Fundamental tenets of religious faith, such as the existence of a supreme deity or deities, cannot be confirmed or refuted by experimentation and are thus outside the realm of science.
7.1.0.0.4.1	The power of science derives from strict objectivity and absolute dependence on evidence based on reproducible and quantifiable observations.
7.1.0.0.4.2	A religious or spiritual explanation of a natural phenomenon may be coherent and satisfying for the person holding that view, but it is not testable and therefore it is not science.
7.1.0.0.4.3	To invoke a supernatural explanation (such as a    creator  ? or    intelligent designer  ? with no known bounds) is to depart from the world of science.
7.1.0.0.4.4	Science does not necessarily say that religious beliefs are wrong; they are simply not part of the world of science and are untestable using scientific methods.
7.1.0.0.5.1	Science describes how the world works.
7.1.0.0.5.2	It is silent on the question of how the world    ought to be.  ?
7.1.0.0.5.3	Many scientific advances that contribute to human welfare also raise major ethical issues.
7.1.0.0.5.4	Recent developments in genetics and developmental biology may enable us to select the sex of our children, to use stem cells to repair our bodies, and to modify the human genome.
7.1.0.0.5.5	Although scientific knowledge may enable us to do these things, science cannot tell us whether or not we should do so, or if we choose to do them, how we should regulate them.
7.1.0.0.5.6	Such issues are as crucial to human society as the science itself, and a responsible scientist does not lose sight of these questions or neglect the contributions of the humanities and social sciences in attempting to come to grips with them.
7.1.0.0.6.1	1.2 recap
7.1.0.0.7.1	Scientific methods of inquiry start with the formulation of hypotheses based on observations and data.
7.1.0.0.7.2	Comparative and controlled experiments are carried out to test hypotheses.
7.1.0.0.7.3	Statistics are essential for drawing conclusions from the data obtained in experiments.
7.1.0.0.7.4	Because organisms can be compared through their evolutionary relationships, the results of experiments can frequently be generalized to apply to other species.
7.1.0.0.8.1	learning outcomes
7.1.0.0.9.1	You should be able to:
7.1.0.0.10.1	Explain the roles of inductive logic and deductive logic in scientific inquiry.
7.1.0.0.11.1	Describe how a controlled experiment is designed.
7.1.0.0.12.1	Differentiate between controlled experiments and comparative experiments.
7.1.0.0.13.1	Explain why model organisms are used in biological research.
7.1.0.0.14.1	What is the relationship between a hypothesis and an experiment?
7.1.0.0.15.1	What is controlled in a controlled experiment?
7.1.0.0.16.1	What features characterize questions that can be answered using a comparative approach rather than through a controlled experiment?
7.1.0.0.17.1	Why is it often possible to generalize the results of biological research on one species to very different species?
7.1.0.0.18.1	The vast body of scientific knowledge accumulated over centuries of human civilization allows us to understand and manipulate aspects of the natural world in ways that no other species can.
7.1.0.0.18.2	These abilities present us with challenges, opportunities, and above all, responsibilities.
7.1.0.0.19.1	Chapter 1 continues with
7.1.0.0.20.1	1.3 Understanding Biology Is Important for Health, Well-Being, and Public-Policy Decisions
7.1.3.1.1	Modern agriculture depends on biology
7.1.3.2.1	Biology is the basis of medical practice
7.1.3.3.1	Biology can inform public policy
7.1.3.4.1	Biology is crucial for understanding ecosystems
7.1.3.5.1	Biodiversity helps us understand, enjoy, and appreciate our world
7.1.3.6.1	Human beings exist in and depend on a world of living organisms.
7.1.3.6.2	The oxygen we breathe is produced by the photosynthetic activity of countless billions of individual organisms.
7.1.3.6.3	The food that fuels our bodies comes from the tissues of other living organisms.
7.1.3.6.4	The fuels that power our cars, trucks, and planes are carbon molecules produced by living organisms   mostly millions of years ago.
7.1.3.6.5	Inside and out, our bodies are covered in complex communities of living unicellular organisms.
7.1.3.6.6	Some help us be healthy, but others can invade our bodies and cause mild to serious diseases, or even death.
7.1.3.6.7	These interactions with other species are not limited to humans.
7.1.3.6.8	Ecosystems depend on thousands of complex interactions among the millions of species that inhabit Earth.
7.1.3.6.9	Understanding biological principles is essential for us to lead healthy productive lives and to be good stewards of our planet.
7.1.3.7.1	focus your learning
7.1.3.8.1	Biology contributes many things to society.
7.1.0.0.1.1	Agriculture represents some of the earliest human applications of biological principles.
7.1.0.0.1.2	Beginning about 10,000 years ago, humans began to cultivate and harvest grains.
7.1.0.0.1.3	It is probable that even in those early times farmers selected the most productive or otherwise favorable plants and animals to use as seed stock for propagation, and over generations farmers continued and refined these practices.
7.1.0.0.1.4	By 1960, the worldwide yield of food grains reached a billion tons, but human population growth outpaced agricultural productivity and starvation was common in developing countries.
7.1.0.0.1.5	Catastrophic famine was predicted for the 1970s.
7.1.0.0.1.6	In response to those predictions, developed countries initiated huge efforts to produce genetically improved, higher-yielding food grain varieties.
7.1.0.0.1.7	These highly successful research programs resulted in what has been called the Green Revolution, and by the year 2000 the worldwide yield of food grains, which make up about 50 percent of the calories in the human diet, reached 2 billion tons.
7.1.0.0.1.8	Increasing knowledge of plant and animal biology has transformed agriculture in many ways and has resulted in huge boosts in food production.
7.1.0.0.1.9	Figure 1.13 A Green Revolution
7.1.0.0.2.1	A new threat to agriculture and the world food supply is global climate change.
7.1.0.0.2.2	Some regions are becoming wetter and others drier, and those changes affect traditional agricultures.
7.1.0.0.2.3	An example is rice, which normally grows in shallow water in rice paddies (Figure 1.13).
7.1.0.0.2.4	But, common rice varieties cannot survive complete submergence for more than a few days, and are therefore killed by flooding caused by too much rain.
7.1.0.0.2.5	In India and Bangladesh alone, annual flooding can destroy about 4 million tons of rice, enough to feed 30 million people.
7.1.0.0.2.6	In recent years plant geneticists Pam Ronald, David Mackill, and their colleagues at the University of California at Davis have discovered a single gene from an ancient variety of rice that when genetically engineered into the current rice varieties makes them capable of surviving total submergence for many days.
7.1.0.0.2.7	Advances such as this may help save the benefits of the Green Revolution from the new problems generated by global climate change.
7.1.0.0.3.1	Over the past few decades, detailed knowledge of the genomes of many domestic species and the development of technology for directly recombining genes have allowed biologists to develop new breeds and strains of animals, plants, and fungi of agricultural interest.
7.1.0.0.3.2	New strains of crop plants are being developed that are resistant to pests or tolerant of drought or, in the case of rice, flooding.
7.1.0.0.3.3	Moreover, understanding evolutionary theory allows biologists to devise strategies for the application of pesticides that minimize the evolution of pest resistance.
7.1.0.0.3.4	And better understanding of plant   fungus relationships results in better plant health and higher productivity.
7.1.0.0.3.5	These are just a few of the many ways that biology continues to inform and improve agricultural practice.
7.1.0.0.1.1	People have speculated about the causes of diseases and searched for methods to combat them since ancient times.
7.1.0.0.1.2	Long before the microbial causes of many diseases were known, people recognized that infections could be passed from one person to another, and the isolation of infected persons has been practiced as long as written records have been available.
7.1.0.0.2.1	Modern biological research informs us about how living organisms work, and about why they develop the problems and infections that we call disease.
7.1.0.0.2.2	In addition to diseases caused by infectious organisms, we now know that many diseases are genetic   meaning that variants of genes in our genomes cause particular problems in the way we function.
7.1.0.0.2.3	Developing appropriate treatments or cures for diseases depends on understanding the origin, basis, and effects of these diseases, as well as understanding the consequences of any changes we make.
7.1.0.0.2.4	For example, the recent resurgence of tuberculosis is the result of the evolution of bacteria that are resistant to antibiotics.
7.1.0.0.2.5	Dealing with future tuberculosis epidemics will require understanding aspects of molecular biology, physiology, microbial ecology, and evolution   in other words, many of the general principles of modern biology.
7.1.0.0.2.6	Figure 1.14 Medical Applications of Biology Improve Human Health
7.1.0.0.3.1	Many of the microbial organisms that are periodically epidemic in human populations have short generation times and high mutation rates.
7.1.0.0.3.2	For example, we need yearly vaccines for flu because of the high rate of evolution of influenza viruses, the causative agent of flu.
7.1.0.0.3.3	Evolutionary principles help us understand how influenza viruses are changing, and can even help us predict which strains of influenza virus are likely to lead to future flu epidemics.
7.1.0.0.3.4	This medical understanding   which combines an application of molecular biology, evolutionary theory, and basic principles of ecology   allows medical researchers to develop effective vaccines and other strategies for the control of major epidemics (Figure 1.14).
7.1.0.0.1.1	Thanks to the deciphering of genomes and our newfound ability to manipulate them, vast new possibilities now exist for controlling human diseases and increasing agricultural productivity   but these capabilities raise ethical and policy issues.
7.1.0.0.1.2	How much and in what ways should we tinker with the genes of humans and other species?
7.1.0.0.1.3	Does it matter whether the genomes of our crop plants and domesticated animals are changed by traditional methods of controlled breeding or by the biotechnology of gene transfer?
7.1.0.0.1.4	What rules should govern the release of genetically modified organisms into the environment?
7.1.0.0.1.5	Science alone cannot provide all the answers, but wise policy decisions must be based on accurate scientific information.
7.1.0.0.2.1	Figure 1.15 Bluefin Tuna Do Not Recognize Boundaries (A)
7.1.0.0.3.1	Marine biologist Barbara Block attaches computerized data-recording tracking tags to a live bluefin tuna before returning it to the Atlantic Ocean, where its travels will be monitored.
7.1.0.0.3.2	(B) Tracking data from eastern (Mediterranean) and western (Gulf of Mexico) breeding populations of bluefin tuna.
7.1.0.0.3.3	At one time commercial fishing regulatory agencies assumed that bluefins from western- and eastern-breeding populations fed on their respective sides of the Atlantic.
7.1.0.0.3.4	To speed recovery of the endangered western population, fishing quotas were created for each side of the mid-Atlantic Ocean (dashed line).
7.1.0.0.4.1	Q: Based on Dr. Block   s data, does it seem likely that fishing quotas based on the mid-Atlantic boundary line would protect the western-breeding population of bluefin tuna?
7.1.0.0.5.1	Biologists are increasingly called on to advise government agencies concerning the laws, rules, and regulations by which society deals with the increasing number of challenges that have a biological basis.
7.1.0.0.5.2	As an example of the value of scientific knowledge for the assessment and formulation of public policy, consider a management problem.
7.1.0.0.5.3	Scientists and fishermen have long known that Atlantic bluefin tuna (Thunnus thynnus) have a western breeding ground in the Gulf of Mexico and an eastern breeding ground in the Mediterranean Sea (Figure 1.15).
7.1.0.0.5.4	Overfishing led to declining numbers of bluefin tuna, especially in the western-breeding populations, to the point of these populations being endangered.
7.1.0.0.6.1	Initially it was assumed by scientists, fishermen, and policy makers alike that the eastern and western populations had geographically separate feeding grounds as well as separate breeding grounds.
7.1.0.0.6.2	Acting on this assumption, an international commission drew a line down the middle of the Atlantic Ocean and established strict fishing quotas on the western side of the line, with the intent of allowing the western population to recover.
7.1.0.0.6.3	Modern tracking data, however, revealed that in fact the eastern and western bluefin populations mix freely on their feeding grounds across the entire North Atlantic   a swath of ocean that includes the most heavily fished waters in the world.
7.1.0.0.6.4	Tuna caught on the eastern side of the line could just as likely be from the western-breeding population as the eastern; thus the established policy could not achieve its intended goal.
7.1.0.0.7.1	Scientific knowledge can make significant contributions to the formulation of wise public policy, but economic and political factors frequently outweigh scientific recommendations.
7.1.0.0.7.2	It is particularly lamentable when solid scientific evidence is discounted or ignored because it is inconvenient.
7.1.0.0.7.3	An example is the rejection by many policy makers of strong evidence for and scientific consensus on global climate change.
7.1.0.0.1.1	Figure 1.16 A Warmer World
7.1.0.0.2.1	Earth has been changing since its formation and continues to change.
7.1.0.0.2.2	Human activity, however, is resulting in an unprecedented rate of change in the world   s ecosystems.
7.1.0.0.2.3	For example, the mining and consumption of fossil fuels is releasing massive quantities of carbon dioxide into Earth   s atmosphere.
7.1.0.0.2.4	This anthropogenic (human-generated) increase in atmospheric carbon dioxide is largely responsible for the rapid rate of global climate warming recorded over the last 50 years (Figure 1.16).
7.1.0.0.3.1	Our use of natural resources is putting stress on the ability of Earth   s ecosystems to continue to produce the goods and services on which our society depends.
7.1.0.0.3.2	Human activities are changing global climates at an unprecedented rate and are leading to the extinctions of large numbers of species (such as the reef-building corals featured in this chapter).
7.1.0.0.3.3	The modern, warmer world is also experiencing the spread of new diseases and the resurgence of old ones.
7.1.0.0.3.4	Biological knowledge is vital for determining the causes of these changes and for devising policies to deal with them.
7.1.0.0.1.1	Figure 1.17 Exploring Life on Earth
7.1.0.0.2.1	Beyond issues of policy and pragmatism lies the human    need to know.  ?
7.1.0.0.2.2	Most people are fascinated by the richness and diversity of life and want to know more about organisms, how they function, and how they interact (Figure 1.17).
7.1.0.0.2.3	For the biologist, biodiversity offers an inexhaustible source of new questions and opportunities for new investigations and experiments.
7.1.0.0.2.4	New discoveries and greater knowledge generate questions no one thought to ask before.
7.1.0.0.2.5	Science is a never-ending quest.
7.1.0.0.3.1	Apart from scientific endeavors, biodiversity enriches our lives.
7.1.0.0.3.2	You may be an avid birdwatcher, or enjoy gardening, or seek out particular species if you hunt or fish.
7.1.0.0.3.3	Some people observe or collect butterflies, or mushrooms, or other groups of plants and animals.
7.1.0.0.3.4	Displays of spring wildflowers bring out throngs of human viewers.
7.1.0.0.3.5	Hiking and camping in natural areas full of diverse species are activities enjoyed by millions.
7.1.0.0.3.6	Learning about biology greatly increases our enjoyment of the world around us.
7.1.0.0.4.1	investigatinglife
7.1.0.0.5.1	How might experiments on heat stress in corals be used to predict the response of corals to global warming?
7.1.0.0.6.1	How can we put studies like the one conducted by Rachael and her colleagues to use?
7.1.0.0.6.2	One way is to use the information to make predictions.
7.1.0.0.6.3	As we&#8217;ve noted in this chapter, abundant evidence shows that Earth&#8217;s climate is warming as a result of increased levels of CO2 in our atmosphere.
7.1.0.0.6.4	Can corals survive this global warming, or will they all lose their photosynthetic dinoflagellates and die?
7.1.0.0.6.5	The experiments and observations done by Rachael&#8217;s team suggest that higher temperatures will lead to increased coral bleaching, but that some short-term acclimation of individuals can occur.
7.1.0.0.6.6	If global warming is slowed sufficiently, longer-term processes of evolution will act on the surviving corals that have genetic adaptations that increase their tolerance to warmer waters.
7.1.0.0.6.7	This selection process should result in genetic changes in populations, which will allow more corals to survive.
7.1.0.0.6.8	How well acclimation and adaptation can work to ensure the survival of corals depends on many factors, including the average life span of individual corals, the rate of global warming, and the availability of alternative heat-resistant dinoflagellates.
7.1.0.0.6.9	The basic research conducted by Rachael&#8217;s team is a first, but critical, step in predicting the future response of corals to global warming.
7.1.0.0.7.1	Future directions
7.1.0.0.8.1	As described, the corals in Rachael&#8217;s study have certain species of dinoflagellates growing within their cells.
7.1.0.0.8.2	The corals provide a suitable environment for the dinoflagellates and the dinoflagellates provide nutrients for the corals.
7.1.0.0.8.3	Such a mutually beneficial relationship is called symbiosis.
7.1.0.0.8.4	The bleaching response to high temperature implies dysfunction in the dinoflagellates, leading to their expulsion from the corals.
7.1.0.0.8.5	Understanding thermal tolerance of the corals therefore requires greater understanding of genetic changes and acclimation of the symbiotic dinoflagellates.
7.1.0.0.8.6	Other studies have shown that some corals contain multiple strains of dinoflagellates, and these strains change in abundance when the corals are grown at different temperatures, perhaps contributing to thermal tolerance.
7.1.0.0.8.7	There are many species and strains of dinoflagellates, but coral species usually are associated with specific species.
7.1.0.0.8.8	Future research could focus on thermal tolerance of dinoflagellates to identify genes that confer thermal tolerance.
7.1.0.0.8.9	Additional research could be to find ways of transferring those genes into other species of dinoflagellates or to find ways of infecting corals endangered by rising temperatures with strains of temperature-tolerant symbionts.
7.1.0.0.9.1	1.3 recap
7.1.0.0.10.1	Biology informs us about the structure, processes, and interactions of the living organisms that make up our world.
7.1.0.0.10.2	Informed decisions about food and energy production, health, and our environment depend on biological knowledge.
7.1.0.0.10.3	Biology also addresses the human need to understand the world around us, and helps us appreciate the diverse planet we call home.
7.1.0.0.11.1	learning outcomes
7.1.0.0.12.1	You should be able to:
7.1.0.0.13.1	Explain the relevance of biology to people   s daily lives.
7.1.0.0.14.1	Apply biological knowledge to answer a question that pertains to everyday life.
7.1.0.0.15.1	Describe an example of how modern biology is applied to agriculture.
7.1.0.0.16.1	Discuss an example of a biological problem that is directly related to global climate change.
7.1.0.0.17.1	Why are some antibiotics no longer as effective for treating bacterial diseases as they were when these drugs were introduced?
7.1.0.0.18.1	This chapter has provided a brief roadmap of the rest of the book.
7.1.0.0.18.2	Thinking about the principles outlined here may help you clarify and make sense of the pages of detailed description to come.
7.1.0.0.19.1	Chapter 1 continues with
7.1.0.0.20.1	Chapter Summary
7.1.summary.1.1	1.1
7.1.summary.2.1	Living Organisms Share Similarities and a Common Origin
7.1.summary.3.1	Biology is the scientific study of organisms, including their characteristics, evolution, functions, and interactions.
7.1.summary.4.1	All living organisms are related to one another through common descent.
7.1.summary.4.2	Shared features among organisms support the concept of a common ancestry for all life on Earth.
7.1.summary.4.3	These features include: a common set of chemical building blocks, a nearly universal genetic code, sequence similarities across fundamental genes, and similarities in cellular structure and function.
7.1.summary.5.1	Cells evolved early in the history of life.
7.1.summary.5.2	Cellular specialization allowed multicellular organisms to increase in size and diversity.
7.1.summary.5.3	Review Figure 1.2
7.1.summary.6.1	Photosynthesis provided a means of capturing energy directly from sunlight, and over time changed Earth   s atmosphere.
7.1.summary.7.1	The instructions for a cell are contained in its genome, which consists of DNA molecules made up of sequences of nucleotides.
7.1.summary.7.2	Specific segments of DNA called genes contain the information the cell uses to make proteins through processes of transcription and translation.
7.1.summary.7.3	Review Figure 1.6.
7.1.summary.8.1	Evolution   change in the genetic makeup of biological populations through time   is a fundamental principle of life.
7.1.summary.8.2	Populations evolve by means of several different processes, including natural selection, which is responsible for the diversity of adaptations found in living organisms.
7.1.summary.9.1	Biologists use fossils, anatomical similarities and differences, and molecular comparisons of genomes to reconstruct the history of life.
7.1.summary.9.2	Life is divided into two major lineages   Bacteria, Archaea.
